"id","name","type","year","secteur","mappe","producer","scale","sheet","salle","tranche","index","nature","created_by_id","last_update_by_id"
91,"PERIMETRE DU BEHT","ASSAINISSEMENT_DRAINAGE",NULL,"S8","-----","ORMVAG","1//2000","-----","SALLE 1","BEHT","24080","PLAN DE RESEAU",NULL,NULL
92,"PERIMETRE DU BEHT","ASSAINISSEMENT_DRAINAGE",NULL,"S8","-----","ORMVAG","1//2000","-----","SALLE 1","BEHT","24081","PLAN DE RESEAU",NULL,NULL
93,"PERIMETRE DU BEHT","ASSAINISSEMENT_DRAINAGE",NULL,"S7-8","-----","ORMVAG","1//2000","-----","SALLE 1","BEHT","24082","PLAN DE RESEAU",NULL,NULL
94,"IRRIGATION DE PERIMETRE DU GHARB","-----",NULL,"-----","-----","C.N.A.R.B.L-ORMVAG","1//5000","-----","SALLE 1","PTI","24089","PLAN DE RESEAU",NULL,NULL
95,"IRRIGATION DE PERIMETRE DU GHARB","-----",1975,"-----","-----","C.N.A.R.B.L-ORMVAG","1//5000","2.3","SALLE 1","PTI","24090","PLAN DE RESEAU",NULL,NULL
96,"IRRIGATION DE PERIMETRE DU GHARB","-----",1975,"-----","-----","C.N.A.R.B.L-ORMVAG","1//5000","-----","SALLE 1","PTI","24091","PLAN DE RESEAU",NULL,NULL
97,"PERIMETRE DU GHARB","-----",1971,"S17","-----","S.C.E.T COOP-INTERNATIONAL-SOMET","1//5000","21799","SALLE 1","PTI","24092"," PLAN D'ENSEMBLE",NULL,NULL
98,"PERIMETRE DU GHARB","-----",1971,"S17","-----","S.C.E.T COOP-INTERNATIONAL-SOMET","1//5000","21799","SALLE 1","PTI","24093"," PLAN D'ENSEMBLE",NULL,NULL
99,"CARTE DE DELIMITATION DES ZONES D'EGALE VALUR","-----",NULL,"-----","-----","-----","1//5000","4","SALLE 1","-----","24097","PLAN DE DELIMITATION",NULL,NULL
100,"SECTEUR DE M'SAADA SOUK ELHAD","-----",NULL,"-----","-----","-----","1//5000","7","SALLE 1","PTI","24098","-----",NULL,NULL
101,"SECTEUR DE M'SAADA SOUK ELHAD","-----",NULL,"-----","-----","-----","1//5000","8","SALLE 1","-----","24099","-----",NULL,NULL
102,"CARTE DE DELIMITATION DES ZONES D'EGALE VALUR","-----",NULL,"-----","-----","-----","1//5000","-----","SALLE 1","-----","24100"," PLAN PARCELLAIRE",NULL,NULL
103,"STATION DE POMPAGE ","-----",1975,"P8","-----","ORMVAG","1//500","-----","SALLE 1","PTI","24101","PLAN DE MASSE",NULL,NULL
104,"AMENAGEMENT HYDRO-AGRICOLE DE LA PAINE DU GHARB","-----",1975,"P8","-----","ORMVAG","1//500","-----","SALLE 1","PTI","24102","PLAN DE MASSE",NULL,NULL
105,"-----","-----",NULL,"S2 S3","-----","-----","-----","-----","SALLE 1","-----","24118 (5)","PLAN COTE",NULL,NULL
106,"-----","-----",NULL,"S2 S3","-----","-----","-----","-----","SALLE 1","-----","24135 (2)","PLAN COTE",NULL,NULL
107,"-----","-----",NULL,"S2 S3","-----","-----","-----","-----","SALLE 1","-----","24136 (1)","PLAN COTE",NULL,NULL
108,"-----","-----",NULL,"S2 S3","-----","-----","-----","-----","SALLE 1","-----","24136 (2)","PLAN COTE",NULL,NULL
109,"-----","-----",NULL,"S2 S3","-----","-----","-----","-----","SALLE 1","-----","24137 (1)","PLAN COTE",NULL,NULL
110,"-----","-----",NULL,"S2 S3","-----","-----","-----","-----","SALLE 1","-----","24137 (2)","PLAN COTE",NULL,NULL
111,"-----","-----",NULL,"S2 S3","-----","-----","-----","-----","SALLE 1","-----","24138 (1)","PLAN COTE",NULL,NULL
112,"-----","-----",NULL,"S2 S3","-----","-----","-----","-----","SALLE 1","-----","24138 (2)","PLAN COTE",NULL,NULL
113,"-----","-----",NULL,"S2 S3","-----","-----","-----","-----","SALLE 1","-----","24139 (1)","PLAN COTE",NULL,NULL
114,"-----","-----",NULL,"S2 S3","-----","-----","-----","-----","SALLE 1","-----","24139 (2)","PLAN COTE",NULL,NULL
115,"-----","-----",NULL,"S2 S3","-----","-----","-----","-----","SALLE 1","-----","24140 (1)","PLAN COTE",NULL,NULL
116,"-----","-----",NULL,"S2 S3","-----","-----","-----","-----","SALLE 1","-----","24140 (2)","PLAN COTE",NULL,NULL
117,"-----","-----",NULL,"S2 S3","-----","-----","-----","-----","SALLE 1","-----","24141 (1)","PLAN COTE",NULL,NULL
118,"-----","-----",NULL,"S2 S3","-----","-----","-----","-----","SALLE 1","-----","24141 (2)","PLAN COTE",NULL,NULL
119,"-----","-----",NULL,"S2 S3","-----","-----","-----","-----","SALLE 1","-----","24142 (1)","PLAN COTE",NULL,NULL
120,"-----","-----",NULL,"S2 S3","-----","-----","-----","-----","SALLE 1","-----","24142 (2)","PLAN COTE",NULL,NULL
121,"-----","-----",NULL,"S2 S3","-----","-----","-----","-----","SALLE 1","-----","24143 (1)","PLAN COTE",NULL,NULL
122,"-----","-----",NULL,"S2 S3","-----","-----","-----","-----","SALLE 1","-----","24143 (2)","PLAN COTE",NULL,NULL
123,"-----","-----",NULL,"S2 S3","-----","-----","-----","-----","SALLE 1","-----","24144 (1)","PLAN COTE",NULL,NULL
124,"-----","-----",NULL,"S2 S3","-----","-----","-----","-----","SALLE 1","-----","24144 (2)","PLAN COTE",NULL,NULL
125,"-----","-----",NULL,"S2 S3","-----","-----","-----","-----","SALLE 1","-----","24145 (1)","PLAN COTE",NULL,NULL
126,"-----","-----",NULL,"S2 S3","-----","-----","-----","-----","SALLE 1","-----","24145 (2)","PLAN COTE",NULL,NULL
127,"-----","-----",NULL,"S2 S3","-----","-----","-----","-----","SALLE 1","-----","24146 (1)","PLAN COTE",NULL,NULL
128,"-----","-----",NULL,"S2 S3","-----","-----","-----","-----","SALLE 1","-----","24146 (2)","PLAN COTE",NULL,NULL
129,"-----","-----",NULL,"S2 S3","-----","-----","-----","-----","SALLE 1","-----","24147 (1)","PLAN COTE",NULL,NULL
