"id","name","path","type","extension_type","created_by_id","last_update_by_id","project_id"
15177,"2323-60.tif.points","project/files/SALLE 1/2323-60.tif.points",".tif.points",".tif.points",NULL,NULL,7345
15178,"2323-60_georef.tif","project/files/SALLE 1/2323-60_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7345
15179,"2323-61.tif.points","project/files/SALLE 1/2323-61.tif.points",".tif.points",".tif.points",NULL,NULL,7346
15180,"2323-61_georef.tif","project/files/SALLE 1/2323-61_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7346
15181,"2323-62.tif.points","project/files/SALLE 1/2323-62.tif.points",".tif.points",".tif.points",NULL,NULL,7347
15182,"2323-62_georef.tif","project/files/SALLE 1/2323-62_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7347
15183,"2323-63.tif.points","project/files/SALLE 1/2323-63.tif.points",".tif.points",".tif.points",NULL,NULL,7348
15184,"2323-63_georef.tif","project/files/SALLE 1/2323-63_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7348
15185,"2334.tif.points","project/files/SALLE 1/2334.tif.points",".tif.points",".tif.points",NULL,NULL,7349
15186,"2334_georef.tif","project/files/SALLE 1/2334_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7349
15187,"2335.tif.points","project/files/SALLE 1/2335.tif.points",".tif.points",".tif.points",NULL,NULL,7350
15188,"2335_georef.tif","project/files/SALLE 1/2335_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7350
15189,"2335 (1).tif.points","project/files/SALLE 1/2335 (1).tif.points",".tif.points",".tif.points",NULL,NULL,7351
15190,"2335 (1)_georef.tif","project/files/SALLE 1/2335 (1)_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7351
15191,"2335 (2).tif.points","project/files/SALLE 1/2335 (2).tif.points",".tif.points",".tif.points",NULL,NULL,7352
15192,"2335 (2)_georef.tif","project/files/SALLE 1/2335 (2)_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7352
15193,"2335 (3).tif.points","project/files/SALLE 1/2335 (3).tif.points",".tif.points",".tif.points",NULL,NULL,7353
15194,"2335 (3)_georef.tif","project/files/SALLE 1/2335 (3)_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7353
15195,"2335 (4).tif.points","project/files/SALLE 1/2335 (4).tif.points",".tif.points",".tif.points",NULL,NULL,7354
15196,"2335 (4)_georef.tif","project/files/SALLE 1/2335 (4)_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7354
15197,"2335 (5).tif.points","project/files/SALLE 1/2335 (5).tif.points",".tif.points",".tif.points",NULL,NULL,7355
15198,"2335 (5)_georef.tif","project/files/SALLE 1/2335 (5)_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7355
15199,"2335 (7).tif.points","project/files/SALLE 1/2335 (7).tif.points",".tif.points",".tif.points",NULL,NULL,7356
15200,"2335 (7)_georef.tif","project/files/SALLE 1/2335 (7)_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7356
15201,"2335 (8).tif.points","project/files/SALLE 1/2335 (8).tif.points",".tif.points",".tif.points",NULL,NULL,7357
15202,"2335 (8)_georef.tif","project/files/SALLE 1/2335 (8)_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7357
15203,"2336.tif.points","project/files/SALLE 1/2336.tif.points",".tif.points",".tif.points",NULL,NULL,7358
15204,"2336_georef.tif","project/files/SALLE 1/2336_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7358
15205,"2337.tif.points","project/files/SALLE 1/2337.tif.points",".tif.points",".tif.points",NULL,NULL,7359
15206,"2337_georef.tif","project/files/SALLE 1/2337_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7359
15207,"2338.tif.points","project/files/SALLE 1/2338.tif.points",".tif.points",".tif.points",NULL,NULL,7360
15208,"2338_georef.tif","project/files/SALLE 1/2338_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7360
15209,"2339.tif.points","project/files/SALLE 1/2339.tif.points",".tif.points",".tif.points",NULL,NULL,7361
15210,"2339_georef.tif","project/files/SALLE 1/2339_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7361
15211,"2340.tif.points","project/files/SALLE 1/2340.tif.points",".tif.points",".tif.points",NULL,NULL,7362
15212,"2340_georef.tif","project/files/SALLE 1/2340_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7362
15213,"2341.tif.points","project/files/SALLE 1/2341.tif.points",".tif.points",".tif.points",NULL,NULL,7363
15214,"2341_georef.tif","project/files/SALLE 1/2341_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7363
15215,"2343.tif.points","project/files/SALLE 1/2343.tif.points",".tif.points",".tif.points",NULL,NULL,7364
15216,"2343_georef.tif","project/files/SALLE 1/2343_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7364
15217,"2344.tif.points","project/files/SALLE 1/2344.tif.points",".tif.points",".tif.points",NULL,NULL,7365
15218,"2344_georef.tif","project/files/SALLE 1/2344_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7365
15219,"2345.tif.points","project/files/SALLE 1/2345.tif.points",".tif.points",".tif.points",NULL,NULL,7366
15220,"2345_georef.tif","project/files/SALLE 1/2345_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7366
15221,"2346.tif.points","project/files/SALLE 1/2346.tif.points",".tif.points",".tif.points",NULL,NULL,7367
15222,"2346_georef.tif","project/files/SALLE 1/2346_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7367
15223,"2347.tif.points","project/files/SALLE 1/2347.tif.points",".tif.points",".tif.points",NULL,NULL,7368
15224,"2347_georef.tif","project/files/SALLE 1/2347_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7368
15225,"2347 (2).tif.points","project/files/SALLE 1/2347 (2).tif.points",".tif.points",".tif.points",NULL,NULL,7369
15226,"2347 (2)_georef.tif","project/files/SALLE 1/2347 (2)_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7369
15227,"2347 (3).tif.points","project/files/SALLE 1/2347 (3).tif.points",".tif.points",".tif.points",NULL,NULL,7370
15228,"2347 (3)_georef.tif","project/files/SALLE 1/2347 (3)_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7370
15229,"2347 (4).tif.points","project/files/SALLE 1/2347 (4).tif.points",".tif.points",".tif.points",NULL,NULL,7371
15230,"2347 (4)_georef.tif","project/files/SALLE 1/2347 (4)_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7371
15231,"2347 (5).tif.points","project/files/SALLE 1/2347 (5).tif.points",".tif.points",".tif.points",NULL,NULL,7372
15232,"2347 (5)_georef.tif","project/files/SALLE 1/2347 (5)_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7372
15233,"2348.tif.points","project/files/SALLE 1/2348.tif.points",".tif.points",".tif.points",NULL,NULL,7373
15234,"2348_georef.tif","project/files/SALLE 1/2348_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7373
15235,"2349.tif.points","project/files/SALLE 1/2349.tif.points",".tif.points",".tif.points",NULL,NULL,7374
15236,"2349_georef.tif","project/files/SALLE 1/2349_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7374
15237,"2350.tif.points","project/files/SALLE 1/2350.tif.points",".tif.points",".tif.points",NULL,NULL,7375
15238,"2350_georef.tif","project/files/SALLE 1/2350_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7375
15239,"2350 (1).tif.points","project/files/SALLE 1/2350 (1).tif.points",".tif.points",".tif.points",NULL,NULL,7376
15240,"2350 (1)_georef.tif","project/files/SALLE 1/2350 (1)_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7376
15241,"2350 (2).tif.points","project/files/SALLE 1/2350 (2).tif.points",".tif.points",".tif.points",NULL,NULL,7377
15242,"2350 (2)_georef.tif","project/files/SALLE 1/2350 (2)_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7377
15243,"2350 (5).tif.points","project/files/SALLE 1/2350 (5).tif.points",".tif.points",".tif.points",NULL,NULL,7378
15244,"2350 (5)_georef.tif","project/files/SALLE 1/2350 (5)_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7378
15245,"2350 (6).tif.points","project/files/SALLE 1/2350 (6).tif.points",".tif.points",".tif.points",NULL,NULL,7379
15246,"2350 (6)_georef.tif","project/files/SALLE 1/2350 (6)_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7379
15247,"2350 (7).tif.points","project/files/SALLE 1/2350 (7).tif.points",".tif.points",".tif.points",NULL,NULL,7380
15248,"2350 (7)_georef.tif","project/files/SALLE 1/2350 (7)_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7380
15249,"2350 (8).tif.points","project/files/SALLE 1/2350 (8).tif.points",".tif.points",".tif.points",NULL,NULL,7381
15250,"2350 (8)_georef.tif","project/files/SALLE 1/2350 (8)_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7381
15251,"2350 (9).tif.points","project/files/SALLE 1/2350 (9).tif.points",".tif.points",".tif.points",NULL,NULL,7382
15252,"2350 (9)_georef.tif","project/files/SALLE 1/2350 (9)_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7382
15253,"2350 (10).tif.points","project/files/SALLE 1/2350 (10).tif.points",".tif.points",".tif.points",NULL,NULL,7383
15254,"2350 (10)_georef.tif","project/files/SALLE 1/2350 (10)_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7383
15255,"2350 (11).tif.points","project/files/SALLE 1/2350 (11).tif.points",".tif.points",".tif.points",NULL,NULL,7384
15256,"2350 (11)_georef.tif","project/files/SALLE 1/2350 (11)_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7384
15257,"2350 (12).tif.points","project/files/SALLE 1/2350 (12).tif.points",".tif.points",".tif.points",NULL,NULL,7385
15258,"2350 (12)_georef.tif","project/files/SALLE 1/2350 (12)_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7385
15259,"2350 (13).tif.points","project/files/SALLE 1/2350 (13).tif.points",".tif.points",".tif.points",NULL,NULL,7386
15260,"2350 (13)_georef.tif","project/files/SALLE 1/2350 (13)_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7386
15261,"2350 (14).tif.points","project/files/SALLE 1/2350 (14).tif.points",".tif.points",".tif.points",NULL,NULL,7387
15262,"2350 (14)_georef.tif","project/files/SALLE 1/2350 (14)_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7387
15263,"2350 (15).tif.points","project/files/SALLE 1/2350 (15).tif.points",".tif.points",".tif.points",NULL,NULL,7388
15264,"2350 (15)_georef.tif","project/files/SALLE 1/2350 (15)_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7388
15265,"2350 (16).tif.points","project/files/SALLE 1/2350 (16).tif.points",".tif.points",".tif.points",NULL,NULL,7389
15266,"2350 (16)_georef.tif","project/files/SALLE 1/2350 (16)_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7389
15267,"2350 (17).tif.points","project/files/SALLE 1/2350 (17).tif.points",".tif.points",".tif.points",NULL,NULL,7390
15268,"2350 (17)_georef.tif","project/files/SALLE 1/2350 (17)_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7390
15269,"2350 (18).tif.points","project/files/SALLE 1/2350 (18).tif.points",".tif.points",".tif.points",NULL,NULL,7391
15270,"2350 (18)_georef.tif","project/files/SALLE 1/2350 (18)_georef.tif","_georef.tif","_georef.tif",NULL,NULL,7391
15271,"2350 (19).tif.points","project/files/SALLE 1/2350 (19).tif.points",".tif.points",".tif.points",NULL,NULL,7392
